Link,Featured,Season,Date
https://youtu.be/4rLPcYlYc4A,,PWW1,9/01/1904
https://youtu.be/mstVwOPmd-k,,PWW1,12/01/1907
https://youtu.be/btI1H6BG4mY,,PWW1,19/01/1913
https://youtu.be/q0H-BlL9GMI,,PWW2,30/01/1926
https://youtu.be/iXthi3_cagQ,,PWW2,12/01/1929
https://youtu.be/GBjkPBsQHcw,,PWW2,1/08/1934
https://youtu.be/-6JboH7k2MQ,,PWW2,31/08/1935
https://youtu.be/c2I78dEYAKo,,PWW2,15/03/1937
https://youtu.be/0OadBYGBKYY,,PWW2,1/05/1937
https://youtu.be/gir7_D_J6eo,,PWW2,5/03/1938
https://youtu.be/PtMqnZu-KOw,,PWW2,26/03/1938
https://youtu.be/EX_lOCDbJPo,,1940s,23/08/1947
https://youtu.be/0s6uSU6MOV8,Shackleton,1950s,10/02/1951
https://youtu.be/33UOu_-AZ8U,Shackleton,1950s,19/02/1955
https://youtu.be/qrupm_ZGQEg,,1950s,12/03/1955
https://youtu.be/Jx2-IWAd6I0,Shackleton,1950s,1/10/1955
https://youtu.be/7fbmBba26tU,Shackleton,1950s,14/11/1955
https://youtu.be/Jn1DOlEBW_E,Shackleton,1950s,3/03/1956
https://youtu.be/oE6XJU-Hoa4,Shackleton,1950s,17/03/1956
https://youtu.be/CQO20N5ssKU,Shackleton,1950s,26/11/1956
https://youtu.be/51ZCVdCMIxI,,1960s,15/02/1964
https://youtu.be/ifxMENJBOkU,,1960s,29/08/1964
https://youtu.be/_ieXa5aQKnI,,1960s,28/10/1967
https://youtu.be/llLez08KUf4,,1960s,27/10/1969
https://youtu.be/-uOyMa1T2Ls,,1970s,31/10/1970
https://youtu.be/5QBq6YKYBRI,Hughes,1970s,18/12/1971
https://youtu.be/aKAqpRrL-gY,Hughes,1970s,24/02/1973
https://youtu.be/GG8cg0EI33g,Hughes,1970s,27/02/1973
https://youtu.be/kizTXDhZrXE,Hughes,1970s,17/03/1973
https://youtu.be/WGjJdMuonwE,Hughes,1970s,7/04/1973
https://youtu.be/LeZma0Ctmek,Hughes,1970s,30/11/1974
https://youtu.be/Pjap5qBtD8w,Rowell,1970s,9/10/1977
https://youtu.be/tiOi_cbWo6A,Rowell,1970s,22/04/1978
https://youtu.be/2HqQuinys74,Rowell,1970s,24/02/1979
https://youtu.be/WAIeYGWLFWI,,1970s,5/05/1979
https://youtu.be/rNN4DtPZ0z8,,1980s,27/02/1982
https://youtu.be/UB_xFR_1g-Y,Rowell,1980s,30/10/1982
https://youtu.be/b5R8wU6WI30,Rowell,1980s,1/05/1982
https://youtu.be/45Uc5Bh0Hkg,,1980s,20/10/1984
https://youtu.be/Q_mRUwer1cU,,1980s,24/11/1984
https://youtu.be/LF1BEEWqwiY,Gabbiadini,1990s,25/08/1990
